pair_id,prime_syll,target_syll,sharedUnit,same_cond,prime,target,prime_pic,target_pic,primeId,targetId,primeAnimacy,targetAnimacy
120,CVC,CVC,control,n,깃발,말벌,PICTURE_295.png,PICTURE_62.png,Flag,Hornet,inanimate,animate
151,CV,CVC,body,y,사슴,삼각,PICTURE_105.png,PICTURE_181.png,Deer,Triangle,animate,inanimate
204,CV,CVC,control,n,포크,칠판,PICTURE_673.png,PICTURE_402.png,Fork,Blackboard,inanimate,inanimate
220,CVC,CVC,rime,y,문어,분필,PICTURE_728.png,PICTURE_622.png,Octopus,Chalk,animate,inanimate
85,CVC,CV,nucleus,y,장미,타조,PICTURE_480.png,PICTURE_299.png,Rose,Ostrich,inanimate,animate
150,CV,CVC,body,y,사진,상어,PICTURE_527.png,PICTURE_533.png,Photo,Shark,inanimate,animate
94,CVC,CVC,nucleus,y,말벌,장미,PICTURE_62.png,PICTURE_480.png,Hornet,Rose,animate,inanimate
23,CVC,CVC,control,n,반지,낙타,PICTURE_744.png,PICTURE_77.png,Ring,Camel,inanimate,animate
152,CV,CVC,body,y,사슴,상어,PICTURE_105.png,PICTURE_533.png,Deer,Shark,animate,animate
234,CVC,CVC,rime,y,책상,백조,PICTURE_110.png,PICTURE_528.png,Desk,Swan,inanimate,animate
